RaceName,AvgSpeedWinner,Distance,StageNum,ProfileScore,VertMeters,RaceRanking,StartlistQualScore,ParcourTypeCategorical,MaxAlt,WinningTimeHours,WinningTimeMinutes,WinningTimeMin,WonByCategorical,NumStarted,NumFinished,Months,Days,PercentFinished,DaysIntoYear
TDFStage18,35.825,143.2,18,408,4036,1,1550,MountainTop,1703,3,59,239,GCGroup,142,139,7,21,0.978873239,233.8
TDFStage19,48.684,188.3,19,35,1316,1,1550,Flat,305,3,52,232,Solo,139,138,7,22,0.992805755,234.8
TDFStage20,50.893,40.7,20,39,434,1,1550,ITTHill,389,0,47,47,ITT,138,137,7,23,0.992753623,235.8
TDFStage21,38.85,115.6,21,13,748,1,1550,Flat,173,2,58,178,Sprint,137,134,7,24,0.97810219,236.8
SanSebastian,40.659,224.8,1,231,4147,20,724,HillFlat,675,5,31,331,Solo,156,60,7,30,0.384615385,242.8
PolandStage1,41.281,218.8,1,10,1231,37,467,Flat,285,5,18,318,Sprint,160,159,7,30,0.99375,242.8
PolandStage2,42.925,205.6,2,4,966,37,467,Flat,270,4,47,287,Sprint,159,150,7,31,0.943396226,243.8
PolandStage3,43.817,237.9,3,93,1545,37,467,HillHill,444,5,25,325,SmallSprint,150,150,8,1,1,244.2
PolandStage4,41.121,179.4,4,103,2621,37,467,HillFlat,700,4,21,261,Sprint,150,140,8,2,0.933333333,245.2
PolandStage5,41.691,178.1,5,78,2179,37,467,HillFlat,395,4,16,256,Sprint,140,137,8,3,0.978571429,246.2
PolandStage6,40.075,11.8,6,28,337,37,467,ITTHill,963,0,17,17,ITT,137,128,8,4,0.934306569,247.2
PolandStage7,44.574,177.8,7,36,1875,37,467,Flat,597,3,59,239,Sprint,128,127,8,5,0.9921875,248.2
VueltaStage2,45.764,175.1,2,10,518,9,970,Flat,71,3,49,229,Sprint,182,181,8,20,0.994505495,263.2
VueltaStage3,47.144,193.2,3,0,255,9,970,Flat,29,4,5,245,Sprint,181,180,8,21,0.994475138,264.2
VueltaStage4,43.348,152.5,4,133,2319,9,970,HillHill,1094,3,31,211,SmallSprint,180,180,8,23,1,266.2
VueltaStage5,43.981,187.2,5,162,2978,9,970,HillFlat,428,4,15,255,Break,180,179,8,24,0.994444444,267.2
VueltaStage6,39.108,181.2,6,294,4120,9,970,MountainTop,1131,4,38,278,Solo,179,178,8,25,0.994413408,268.2
VueltaStage7,42.072,190,7,112,3359,9,970,HillFlat,1599,4,30,270,Break,178,175,8,26,0.983146067,269.2
VueltaStage8,37.504,153.4,8,335,3741,9,970,MountainTop,1084,4,5,245,Break,175,169,8,27,0.965714286,270.2
